sample_id	location	r1	r2
Blank_plate1	Blank	data/raw/Blank_plate1_S92_L004_R1_001.fastq.gz	data/raw/Blank_plate1_S92_L004_R2_001.fastq.gz
Blank_plate2	Blank	data/raw/Blank_plate2_S108_L004_R1_001.fastq.gz	data/raw/Blank_plate2_S108_L004_R2_001.fastq.gz
CS18_22_Wild_plate1_A7	CS18_22_Wild_plate1	data/raw/CS18_22_Wild_plate1_A7_S47_L004_R1_001.fastq.gz	data/raw/CS18_22_Wild_plate1_A7_S47_L004_R2_001.fastq.gz
CS18_22_Wild_plate1_C6	CS18_22_Wild_plate1	data/raw/CS18_22_Wild_plate1_C6_S41_L004_R1_001.fastq.gz	data/raw/CS18_22_Wild_plate1_C6_S41_L004_R2_001.fastq.gz
CS18_22_Wild_plate1_D6	CS18_22_Wild_plate1	data/raw/CS18_22_Wild_plate1_D6_S42_L004_R1_001.fastq.gz	data/raw/CS18_22_Wild_plate1_D6_S42_L004_R2_001.fastq.gz
CS18_22_Wild_plate1_E6	CS18_22_Wild_plate1	data/raw/CS18_22_Wild_plate1_E6_S43_L004_R1_001.fastq.gz	data/raw/CS18_22_Wild_plate1_E6_S43_L004_R2_001.fastq.gz
CS18_22_Wild_plate1_F6	CS18_22_Wild_plate1	data/raw/CS18_22_Wild_plate1_F6_S44_L004_R1_001.fastq.gz	data/raw/CS18_22_Wild_plate1_F6_S44_L004_R2_001.fastq.gz
CS18_22_Wild_plate1_G6	CS18_22_Wild_plate1	data/raw/CS18_22_Wild_plate1_G6_S45_L004_R1_001.fastq.gz	data/raw/CS18_22_Wild_plate1_G6_S45_L004_R2_001.fastq.gz
CS18_22_Wild_plate1_H6	CS18_22_Wild_plate1	data/raw/CS18_22_Wild_plate1_H6_S46_L004_R1_001.fastq.gz	data/raw/CS18_22_Wild_plate1_H6_S46_L004_R2_001.fastq.gz
Coos_Bay_10	Coos_Bay	data/raw/Coos_Bay_10_S107_L004_R1_001.fastq.gz	data/raw/Coos_Bay_10_S107_L004_R2_001.fastq.gz
Coos_Bay_4	Coos_Bay	data/raw/Coos_Bay_4_S101_L004_R1_001.fastq.gz	data/raw/Coos_Bay_4_S101_L004_R2_001.fastq.gz
Coos_Bay_5	Coos_Bay	data/raw/Coos_Bay_5_S102_L004_R1_001.fastq.gz	data/raw/Coos_Bay_5_S102_L004_R2_001.fastq.gz
Coos_Bay_6	Coos_Bay	data/raw/Coos_Bay_6_S103_L004_R1_001.fastq.gz	data/raw/Coos_Bay_6_S103_L004_R2_001.fastq.gz
Coos_Bay_7	Coos_Bay	data/raw/Coos_Bay_7_S104_L004_R1_001.fastq.gz	data/raw/Coos_Bay_7_S104_L004_R2_001.fastq.gz
Coos_Bay_8	Coos_Bay	data/raw/Coos_Bay_8_S105_L004_R1_001.fastq.gz	data/raw/Coos_Bay_8_S105_L004_R2_001.fastq.gz
Coos_Bay_9	Coos_Bay	data/raw/Coos_Bay_9_S106_L004_R1_001.fastq.gz	data/raw/Coos_Bay_9_S106_L004_R2_001.fastq.gz
Dogfish_Bay_10	Dogfish_Bay	data/raw/Dogfish_Bay_10_S51_L004_R1_001.fastq.gz	data/raw/Dogfish_Bay_10_S51_L004_R2_001.fastq.gz
Dogfish_Bay_11	Dogfish_Bay	data/raw/Dogfish_Bay_11_S52_L004_R1_001.fastq.gz	data/raw/Dogfish_Bay_11_S52_L004_R2_001.fastq.gz
