	Blank_plate1	Blank_plate2	CS18_22_Wild_plate1_A7	CS18_22_Wild_plate1_C6	CS18_22_Wild_plate1_D6	CS18_22_Wild_plate1_E6	CS18_22_Wild_plate1_F6	CS18_22_Wild_plate1_G6	CS18_22_Wild_plate1_H6	Coos_Bay_10	Coos_Bay_4	Coos_Bay_5	Coos_Bay_6	Coos_Bay_7	Coos_Bay_8	Coos_Bay_9	Dogfish_Bay_10	Dogfish_Bay_11	Dogfish_Bay_12	Dogfish_Bay_13	Dogfish_Bay_14	Dogfish_Bay_7	Dogfish_Bay_8	Dogfish_Bay_9	FB18_Wild_10	FB18_Wild_11	FB18_Wild_12	FB18_Wild_8	FB18_Wild_9	Fidalgo_Bay_10	Fidalgo_Bay_11	Fidalgo_Bay_12	Fidalgo_Bay_8	Fidalgo_Bay_9	HC18_Triton_Wild_10	HC18_Triton_Wild_11	HC18_Triton_Wild_12	HC18_Triton_Wild_15	HC18_Triton_Wild_16	HC18_Triton_Wild_7	HC18_Triton_Wild_8	HC18_Triton_Wild_9	LS_10a	LS_11a	LS_12a	LS_13a	LS_14a	LS_8a	LS_9a	MB_11a	MB_12a	MB_13a	MB_14a	MB_1a	MB_2a	MB_3a	MB_4a	NS18_Disco_Wild_10	NS18_Disco_Wild_11	NS18_Disco_Wild_12	NS18_Disco_Wild_13	NS18_Disco_Wild_14	NS18_Disco_Wild_15	NS18_Disco_Wild_8	NS18_Disco_Wild_9	NS18_Sequim_Wild_4	NS18_Sequim_Wild_5	NS18_Sequim_Wild_55	NS18_Sequim_Wild_56	NS18_Sequim_Wild_57	NS18_Sequim_Wild_58	NS18_Sequim_Wild_6	NS18_Sequim_Wild_7	Ostrich_Bay_10	Ostrich_Bay_11	Ostrich_Bay_12	Ostrich_Bay_13	Ostrich_Bay_14	Ostrich_Bay_7	Ostrich_Bay_8	Ostrich_Bay_9	PGB18_Wild_10	PGB18_Wild_11	PGB18_Wild_12	PGB18_Wild_13	PGB18_Wild_14	PGB18_Wild_15	PGB18_Wild_8	PGB18_Wild_9	SS18_North_Bay_Wild_11	SS18_North_Bay_Wild_13	SS18_North_Bay_Wild_14	SS18_North_Bay_Wild_15	SS18_North_Bay_Wild_16	SS18_North_Bay_Wild_17	SS18_North_Bay_Wild_18	SS18_North_Bay_Wild_19	Squaxin_Island_10a	Squaxin_Island_11a	Squaxin_Island_12a	Squaxin_Island_6a	Squaxin_Island_7a	Squaxin_Island_8a	Squaxin_Island_9a	WB_11a	WB_12a	WB_13a	WB_14a	WB_15a	WB_16a	WB_17a	WB_18a
Blank_plate1	1.0																																																																																																															
Blank_plate2		1.0																																																																																																														
CS18_22_Wild_plate1_A7			1.0	0.9906542056074766	0.9951219512195122	0.990521327014218	0.9951219512195122	0.985981308411215	0.9953271028037384	0.9861111111111112	0.990521327014218	0.9906976744186047	1.0	0.9947916666666666	0.9952153110047847	0.9906976744186047	0.9953271028037384	0.9906976744186047	0.9903381642512077	0.990909090909091	0.98989898989899	0.9905660377358491	0.990909090909091	0.9954128440366973	0.989010989010989	0.9950980392156863	0.9952380952380953	1.0	0.9896373056994818	0.9908256880733946	0.9908256880733946	0.9952153110047847	0.9906976744186047	0.9951456310679612	0.8888888888888888	0.9950248756218906	0.9953488372093023	0.9947089947089947	0.993421052631579	1.0	0.9952153110047847	0.9800995024875622	0.990521327014218	0.9820627802690582	0.9909502262443439	0.9950980392156863	0.9953051643192489	0.9906103286384976	0.9906976744186047	0.9953051643192489	0.9953917050691244	0.9953051643192489	0.9951219512195122	0.9808612440191388	0.9863636363636363	0.9907407407407407	0.9955357142857143	0.9853658536585366	0.9904761904761905	0.990909090909091	0.995260663507109	1.0	0.9862385321100917	0.9904761904761905	0.985981308411215	0.9950248756218906	0.9852216748768473	0.98989898989899	0.9950738916256158	0.9954128440366973	0.9948717948717949	0.9904761904761905	0.9904306220095693	0.9903381642512077	0.9861751152073732	0.985981308411215	0.9909502262443439	0.9906103286384976	0.9905660377358491	0.9953488372093023	0.985981308411215	0.9949748743718593	0.9894736842105263	0.9905660377358491	0.9953271028037384	0.9901477832512315	0.9903846153846154	0.9950738916256158	0.9951456310679612	0.990521327014218	1.0	0.9950980392156863	0.9953917050691244	0.9862385321100917	0.990521327014218	0.9951690821256038	0.9857142857142858	0.9953703703703703	0.9812206572769953	0.9908675799086758	0.9769585253456221	0.9863636363636363	0.9862385321100917	0.9954545454545455	0.9904306220095693	0.9951923076923077	0.9908675799086758	0.9905660377358491	0.995260663507109	0.9950738916256158	0.9907407407407407	1.0
CS18_22_Wild_plate1_C6			0.9906542056074766	1.0	0.9951456310679612	0.9902912621359223	0.9950248756218906	0.9858490566037735	0.9953271028037384	0.9904761904761905	0.9951690821256038	0.9856459330143541	0.9903846153846154	0.9946808510638298	0.9901960784313726	0.9906542056074766	0.9906103286384976	0.985781990521327	0.985781990521327	0.9906542056074766	1.0	1.0	1.0	0.9905660377358491	0.9945652173913043	0.995049504950495	0.9952153110047847	0.995	0.9895833333333334	0.9906976744186047	0.9906976744186047	0.9951456310679612	1.0	0.9951456310679612	0.8888888888888888	1.0	0.9953051643192489	0.9946524064171123	0.9932885906040269	0.9950248756218906	0.9951456310679612	0.9896907216494846	0.990521327014218	0.9909502262443439	0.9908675799086758	0.995	1.0	0.9904306220095693	0.9952830188679245	0.9904306220095693	0.9953703703703703	0.9953271028037384	0.9950980392156863	0.9804878048780488	0.985981308411215	0.9906542056074766	0.9953703703703703	0.99	0.9902912621359223	0.9904761904761905	0.995260663507109	0.9948186528497409	0.9863013698630136	0.9902439024390244	0.9903846153846154	0.9900990099009901	0.9851485148514851	0.9897435897435898	0.9900497512437811	1.0	0.9949238578680203	0.9951923076923077	0.9904761904761905	0.9901960784313726	0.9862385321100917	0.985781990521327	0.9907834101382489	1.0	0.9904761904761905	0.9952830188679245	0.9906103286384976	1.0	0.989247311827957	0.9903846153846154	1.0	0.985	1.0	0.9949494949494949	0.9951456310679612	0.9903846153846154	0.9950738916256158	0.9950980392156863	0.9953488372093023	0.9953488372093023	0.9903846153846154	0.995	0.9952153110047847	0.9953271028037384	0.9905660377358491	1.0	0.9861751152073732	0.9953051643192489	0.986046511627907	0.9953703703703703	0.9855072463768116	0.9951219512195122	0.990909090909091	0.9901960784313726	0.9902912621359223	0.9950738916256158	0.9904761904761905	0.9952830188679245
CS18_22_Wild_plate1_D6			0.9951219512195122	0.9951456310679612	1.0	0.9950248756218906	1.0	0.9951219512195122	1.0	0.9951690821256038	0.9951219512195122	0.9951923076923077	0.995	1.0	0.99	1.0	0.9951690821256038	0.9903381642512077	0.9950980392156863	0.9902439024390244	0.9948186528497409	0.9951219512195122	0.9953488372093023	1.0	0.9943820224719101	1.0	1.0	0.9947643979057592	0.9948186528497409	0.9952153110047847	0.9952380952380953	1.0	0.9952153110047847	1.0	0.8888888888888888	1.0	1.0	1.0	1.0	1.0	1.0	0.9894736842105263	0.9950248756218906	0.9906103286384976	1.0	1.0	1.0	0.995049504950495	0.9951219512195122	0.995049504950495	1.0	1.0	1.0	0.9897959183673469	0.9951923076923077	0.9951690821256038	1.0	0.9898477157360406	1.0	0.9952830188679245	1.0	1.0	0.9903381642512077	0.9950248756218906	0.9900990099009901	0.9898477157360406	0.9897959183673469	0.9948717948717949	0.9948979591836735	1.0	1.0	0.995	0.9951456310679612	0.995	0.9952380952380953	0.9901477832512315	0.9952830188679245	0.995	0.995049504950495	1.0	0.9951690821256038	1.0	0.9945054945054945	0.9950738916256158	1.0	0.9895287958115183	0.995	1.0	1.0	0.9950980392156863	1.0	1.0	1.0	0.9905660377358491	0.9951456310679612	1.0	0.9902912621359223	1.0	0.9903381642512077	0.9952830188679245	0.9855769230769231	0.9904306220095693	0.9904761904761905	1.0	0.995049504950495	1.0	1.0	0.995049504950495	0.9901477832512315	0.995049504950495	1.0	1.0
CS18_22_Wild_plate1_E6			0.990521327014218	0.9902912621359223	0.9950248756218906	1.0	0.995	1.0	0.995260663507109	0.9904306220095693	0.9903846153846154	0.9902912621359223	0.9900497512437811	0.9946808510638298	0.9851485148514851	0.9952380952380953	1.0	0.9953051643192489	0.9951219512195122	0.9952380952380953	0.9896373056994818	0.9904761904761905	0.9904761904761905	0.9951690821256038	0.9887005649717514	0.9948979591836735	0.9901960784313726	0.9896907216494846	1.0	0.9905660377358491	0.9904761904761905	0.9950248756218906	0.9902912621359223	1.0	0.875	0.9948979591836735	0.9951923076923077	0.994535519125683	1.0	0.9951219512195122	0.9950738916256158	0.9948979591836735	0.9900497512437811	0.985981308411215	0.9953917050691244	0.9949494949494949	0.9952380952380953	0.9904306220095693	0.9903381642512077	0.9902912621359223	0.9952153110047847	0.9952153110047847	0.9901960784313726	0.9951219512195122	0.9904306220095693	0.9857142857142858	0.9907834101382489	0.9850746268656716	0.9951690821256038	0.9906542056074766	0.9951219512195122	0.9947368421052631	0.995260663507109	0.9901477832512315	0.9855072463768116	0.9848484848484849	0.9948979591836735	1.0	1.0	0.9953051643192489	0.9947368421052631	0.9951923076923077	0.9903381642512077	0.9950738916256158	1.0	0.9951690821256038	1.0	0.9902912621359223	1.0	0.9953703703703703	0.9905660377358491	0.9948717948717949	1.0	0.9853658536585366	0.9951690821256038	0.9950248756218906	0.9853658536585366	0.9949238578680203	0.9950980392156863	1.0	0.9949748743718593	0.9950738916256158	0.995260663507109	0.9952380952380953	0.9902439024390244	0.9949748743718593	0.9950980392156863	0.9951923076923077	0.9855769230769231	0.9904306220095693	0.9904306220095693	0.985781990521327	0.9952380952380953	0.995260663507109	0.9855769230769231	0.9950248756218906	0.9953051643192489	0.9900497512437811	0.9852941176470589	0.98989898989899	0.9951456310679612	0.9952830188679245
CS18_22_Wild_plate1_F6			0.9951219512195122	0.9950248756218906	1.0	0.995	1.0	0.995049504950495	1.0	0.995	0.9949748743718593	1.0	1.0	1.0	0.9898477157360406	1.0	0.9950248756218906	0.9950980392156863	0.9949238578680203	0.9902912621359223	0.9947368421052631	0.9950738916256158	0.9951690821256038	1.0	0.9942528735632183	1.0	0.9947916666666666	0.9947368421052631	0.9946524064171123	0.9950980392156863	0.9951456310679612	1.0	0.9950248756218906	1.0	0.8666666666666667	1.0	1.0	1.0	1.0	1.0	1.0	0.9893617021276596	0.9948717948717949	0.9903846153846154	1.0	1.0	1.0	0.995	0.995	0.9949748743718593	1.0	1.0	0.9948717948717949	0.9897435897435898	0.9951456310679612	0.9901477832512315	0.995260663507109	0.9895287958115183	1.0	0.9950980392156863	1.0	1.0	0.9902439024390244	0.995	0.99	0.9947089947089947	0.9894179894179894	0.9945652173913043	0.9949238578680203	1.0	1.0	0.99	0.995049504950495	0.9949238578680203	0.9950248756218906	0.9900497512437811	0.9951923076923077	0.9949748743718593	0.9949238578680203	1.0	0.9950248756218906	1.0	0.994535519125683	0.9900990099009901	1.0	0.9947643979057592	0.9898477157360406	1.0	1.0	0.9949238578680203	1.0	1.0	1.0	0.9901477832512315	0.995	1.0	0.9899497487437185	1.0	0.9900497512437811	0.9950980392156863	0.9852216748768473	0.9902439024390244	0.9902912621359223	1.0	0.9949238578680203	1.0	1.0	1.0	0.9949748743718593	1.0	0.995049504950495	1.0
CS18_22_Wild_plate1_G6			0.985981308411215	0.9858490566037735	0.9951219512195122	1.0	0.995049504950495	1.0	0.9952830188679245	0.9862385321100917	0.9904761904761905	0.9953271028037384	0.9903381642512077	0.9895833333333334	0.9855072463768116	0.9906542056074766	1.0	0.9953271028037384	0.9901477832512315	0.9953703703703703	0.9898477157360406	0.9906103286384976	0.990909090909091	0.9906976744186047	0.9945054945054945	0.9950248756218906	0.9904761904761905	0.9898477157360406	1.0	0.9906542056074766	0.9861751152073732	0.9950980392156863	0.985781990521327	1.0	0.8947368421052632	0.9948717948717949	0.9906542056074766	0.9891304347826086	1.0	0.9901477832512315	0.9951923076923077	0.9899497487437185	0.9904761904761905	0.9865470852017937	0.990909090909091	0.98989898989899	0.9907407407407407	0.9858490566037735	0.9903381642512077	0.9855072463768116	0.9905660377358491	0.9953703703703703	0.9951690821256038	0.9902439024390244	0.9859154929577465	0.9906976744186047	0.9908675799086758	0.98	0.9904761904761905	0.9907834101382489	0.9902912621359223	0.9948979591836735	0.9907407407407407	0.9851485148514851	0.9805825242718447	0.995	0.9900990099009901	0.9948717948717949	1.0	0.990521327014218	0.9947916666666666	1.0	0.9856459330143541	0.9951219512195122	1.0	0.9905660377358491	0.9953917050691244	0.9857142857142858	0.9951923076923077	0.9952830188679245	0.9906976744186047	0.9949238578680203	1.0	0.9859154929577465	0.9903381642512077	0.9949238578680203	0.9854368932038835	0.9896907216494846	0.9902912621359223	1.0	0.9901960784313726	0.9951219512195122	0.990521327014218	0.9953051643192489	0.9905660377358491	0.9950980392156863	0.9904761904761905	0.9906976744186047	0.9858490566037735	0.9857142857142858	0.9906542056074766	0.9813953488372092	0.9906103286384976	0.9953703703703703	0.9808612440191388	0.995260663507109	0.995475113122172	0.9906103286384976	0.9904306220095693	0.9951456310679612	0.9953488372093023	0.9953051643192489
CS18_22_Wild_plate1_H6			0.9953271028037384	0.9953271028037384	1.0	0.995260663507109	1.0	0.9952830188679245	1.0	0.9953703703703703	0.9952830188679245	0.9952380952380953	0.9951923076923077	1.0	0.9901960784313726	1.0	0.995260663507109	0.9907407407407407	0.9951456310679612	0.9953488372093023	0.9950248756218906	0.9953488372093023	0.9954128440366973	1.0	0.994475138121547	1.0	1.0	1.0	0.9948186528497409	0.9953051643192489	0.9953488372093023	1.0	0.9952830188679245	1.0	0.8823529411764706	1.0	1.0	1.0	1.0	1.0	1.0	0.9897435897435898	0.9952380952380953	0.990909090909091	1.0	1.0	1.0	0.995260663507109	1.0	0.9952380952380953	1.0	1.0	1.0	0.9904761904761905	0.9953271028037384	0.9953703703703703	1.0	0.9901960784313726	1.0	0.9953917050691244	1.0	1.0	0.9908256880733946	0.9952153110047847	0.990521327014218	0.9950738916256158	0.9899497487437185	0.9949238578680203	0.9950980392156863	1.0	1.0	0.9952830188679245	0.9952830188679245	0.9951219512195122	0.9953917050691244	0.990521327014218	0.9954337899543378	0.995260663507109	0.9951923076923077	1.0	0.995260663507109	1.0	0.9947368421052631	0.9951456310679612	1.0	0.99	0.9951923076923077	1.0	1.0	0.9951456310679612	1.0	1.0	1.0	0.9906103286384976	0.9952380952380953	1.0	0.9903381642512077	1.0	0.990521327014218	0.9954337899543378	0.9858490566037735	0.9906542056074766	0.9907834101382489	1.0	0.9951690821256038	1.0	1.0	0.9951456310679612	0.9952830188679245	0.9950738916256158	1.0	1.0
Coos_Bay_10			0.9861111111111112	0.9904761904761905	0.9951690821256038	0.9904306220095693	0.995	0.9862385321100917	0.9953703703703703	1.0	0.9906976744186047	0.9862385321100917	0.985981308411215	0.9948453608247423	0.9952380952380953	0.9953917050691244	0.9905660377358491	0.981651376146789	0.9902912621359223	0.9814814814814815	0.9949238578680203	0.9952830188679245	0.9954337899543378	0.9953488372093023	0.989010989010989	0.995	0.9904761904761905	0.9847715736040609	0.9948979591836735	1.0	0.9863636363636363	0.9951690821256038	0.9906976744186047	0.9903846153846154	0.8888888888888888	1.0	0.9907407407407407	0.9893617021276596	0.993421052631579	0.9901960784313726	0.9952380952380953	0.995	1.0	0.9954545454545455	0.9954954954954955	0.9901477832512315	0.9907834101382489	0.985781990521327	0.9905660377358491	0.9904761904761905	0.9906103286384976	0.9953051643192489	0.9952380952380953	0.9857142857142858	1.0	0.9906542056074766	0.990909090909091	0.995049504950495	0.9953271028037384	0.990990990990991	0.9904306220095693	0.9948717948717949	0.9908256880733946	0.9952153110047847	1.0	0.9849246231155779	0.9849246231155779	0.99	0.9900497512437811	0.9906542056074766	0.9947643979057592	0.9905660377358491	0.9952830188679245	0.9902912621359223	0.9861111111111112	0.9814814814814815	0.9863013698630136	0.9906103286384976	0.9859154929577465	0.9953703703703703	0.9862385321100917	0.9949494949494949	0.9893617021276596	0.9857142857142858	0.990521327014218	0.9803921568627451	0.990521327014218	0.9897959183673469	0.9903381642512077	0.9951923076923077	0.9901960784313726	0.9951456310679612	0.9906542056074766	0.9906976744186047	1.0	0.9950980392156863	0.9853658536585366	0.9908256880733946	0.9952830188679245	0.9907407407407407	0.9907834101382489	0.986046511627907	0.9813953488372092	0.9953703703703703	0.9952380952380953	0.9953271028037384	0.990990990990991	0.9907834101382489	0.981042654028436	0.9905660377358491	0.9954954954954955	0.9953917050691244
