sample_id	raw total sequences	filtered sequences	sequences	is sorted	1st fragments	last fragments	reads mapped	reads mapped and paired	reads unmapped	reads properly paired	reads paired	reads duplicated	reads MQ0	reads QC failed	non-primary alignments	supplementary alignments	total length	total first fragment length	total last fragment length	bases mapped	bases mapped (cigar)	bases trimmed	bases duplicated	mismatches	error rate	average length	average first fragment length	average last fragment length	maximum length	maximum first fragment length	maximum last fragment length	average quality	insert size average	insert size standard deviation	inward oriented pairs	outward oriented pairs	pairs with other orientation	pairs on different chromosomes	percentage of properly paired reads (%)
Blank_plate1	666.0	0.0	666.0	1.0	333.0	333.0	31.0	26.0	635.0	0.0	666.0	0.0	27.0	0.0	0.0	1.0	99900.0	49950.0	49950.0	4650.0	2886.0	0.0	0.0	7.0	0.002425503	150.0	150.0	150.0	150.0	150.0	150.0	38.5	0.0	0.0	0.0	0.0	0.0	13.0	0.0
Blank_plate2	3212.0	0.0	3212.0	1.0	1606.0	1606.0	999.0	992.0	2213.0	906.0	3212.0	0.0	241.0	0.0	0.0	32.0	481800.0	240900.0	240900.0	149850.0	58440.0	0.0	0.0	1683.0	0.02879877	150.0	150.0	150.0	150.0	150.0	150.0	38.5	102.3	151.2	272.0	182.0	1.0	41.0	28.2
CS18_22_Wild_plate1_A7	66544591.0	0.0	66544591.0	1.0	33272294.0	33272297.0	65507562.0	64959575.0	1037029.0	46952496.0	66544591.0	0.0	8360576.0	0.0	0.0	6076386.0	9981688650.0	4990844100.0	4990844550.0	9826134300.0	8963586593.0	0.0	0.0	318277371.0	0.03550781	150.0	150.0	150.0	150.0	150.0	150.0	38.2	288.2	140.2	21715130.0	2033608.0	64986.0	8666060.0	70.6
CS18_22_Wild_plate1_C6	64330458.0	0.0	64330458.0	1.0	32165229.0	32165229.0	63352256.0	62855722.0	978202.0	46192902.0	64330458.0	0.0	8109591.0	0.0	0.0	5879328.0	9649568700.0	4824784350.0	4824784350.0	9502838400.0	8649316082.0	0.0	0.0	307299178.0	0.03552872	150.0	150.0	150.0	150.0	150.0	150.0	38.2	274.5	133.3	21175733.0	2177089.0	60321.0	8014718.0	71.8
CS18_22_Wild_plate1_D6	55622266.0	0.0	55622266.0	1.0	27811133.0	27811133.0	54780518.0	54326860.0	841748.0	39301766.0	55622266.0	0.0	6999443.0	0.0	0.0	5111836.0	8343339900.0	4171669950.0	4171669950.0	8217077700.0	7509987853.0	0.0	0.0	268081543.0	0.03569667	150.0	150.0	150.0	150.0	150.0	150.0	38.2	287.0	137.9	18218010.0	1661080.0	55470.0	7228870.0	70.7
CS18_22_Wild_plate1_E6	69810894.0	0.0	69810894.0	1.0	34905447.0	34905447.0	68827044.0	68318654.0	983850.0	51169548.0	69810894.0	0.0	8714073.0	0.0	0.0	6371314.0	10471634100.0	5235817050.0	5235817050.0	10324056600.0	9354246947.0	0.0	0.0	337042862.0	0.036031	150.0	150.0	150.0	150.0	150.0	150.0	38.1	259.4	124.8	23241992.0	2605497.0	61733.0	8250105.0	73.3
CS18_22_Wild_plate1_F6	60896410.0	0.0	60896410.0	1.0	30448205.0	30448205.0	60230557.0	59916798.0	665853.0	47820564.0	60896410.0	0.0	8084546.0	0.0	0.0	5727787.0	9134461500.0	4567230750.0	4567230750.0	9034583550.0	8038756227.0	0.0	0.0	288021705.0	0.03582914	150.0	150.0	150.0	150.0	150.0	150.0	38.3	211.5	99.0	20576071.0	3515218.0	40318.0	5826792.0	78.5
CS18_22_Wild_plate1_G6	63884420.0	0.0	63884420.0	1.0	31942210.0	31942210.0	62917821.0	62408298.0	966599.0	45585964.0	63884420.0	0.0	8036027.0	0.0	0.0	5844159.0	9582663000.0	4791331500.0	4791331500.0	9437673150.0	8605690354.0	0.0	0.0	306836402.0	0.03565506	150.0	150.0	150.0	150.0	150.0	150.0	38.2	277.4	132.2	21015916.0	2028768.0	60751.0	8098714.0	71.4
CS18_22_Wild_plate1_H6	67214230.0	0.0	67214230.0	1.0	33607115.0	33607115.0	66128640.0	65535468.0	1085590.0	46377018.0	67214230.0	0.0	8496029.0	0.0	0.0	6118706.0	10082134500.0	5041067250.0	5041067250.0	9919296000.0	9081017162.0	0.0	0.0	321575662.0	0.03541185	150.0	150.0	150.0	150.0	150.0	150.0	38.1	305.2	147.7	21695453.0	1780389.0	69726.0	9222166.0	69.0
Coos_Bay_10	77213158.0	0.0	77213158.0	1.0	38606579.0	38606579.0	75812373.0	75036006.0	1400785.0	50910662.0	77213158.0	0.0	10000687.0	0.0	0.0	7029321.0	11581973700.0	5790986850.0	5790986850.0	11371855950.0	10481049566.0	0.0	0.0	379727531.0	0.03622991	150.0	150.0	150.0	150.0	150.0	150.0	38.0	337.7	166.2	24322776.0	1496200.0	87446.0	11611581.0	65.9
Coos_Bay_4	70167812.0	0.0	70167812.0	1.0	35083906.0	35083906.0	68863328.0	68132398.0	1304484.0	45681052.0	70167812.0	0.0	9102660.0	0.0	0.0	6369690.0	10525171800.0	5262585900.0	5262585900.0	10329499200.0	9533576212.0	0.0	0.0	344437017.0	0.03612884	150.0	150.0	150.0	150.0	150.0	150.0	38.0	351.6	174.8	21917629.0	1260522.0	81566.0	10806482.0	65.1
