location	putative_site	network	station_id	station_name	distance_km	variable	file	n	mean	min	max
CS18_22_Wild_plate1	Central Sound wild collection, 2018 (Clam Bay / Manchester vicinity)	NOAA CO-OPS	9446484	Tacoma	35.81	water_temperature_degC	output/04_environmental_data/observations/CS18_22_Wild_plate1_coops-9446484_water-temperature.tsv	739	13.968	13.4	14.9
CS18_22_Wild_plate1	Central Sound wild collection, 2018 (Clam Bay / Manchester vicinity)	NDBC	bmtw1	9445958 - Bremerton, WA	6.2	air_temperature_degC	output/04_environmental_data/observations/CS18_22_Wild_plate1_ndbc-bmtw1_standard-met.tsv	4622	18.354	12.1	29.1
CS18_22_Wild_plate1	Central Sound wild collection, 2018 (Clam Bay / Manchester vicinity)	NDBC	bmtw1	9445958 - Bremerton, WA	6.2	wind_speed_m_s	output/04_environmental_data/observations/CS18_22_Wild_plate1_ndbc-bmtw1_standard-met.tsv	7147	2.043	0.0	7.2
Coos_Bay	Coos Bay, Oregon	NOAA CO-OPS	9431647	Port Orford	68.98	water_temperature_degC	output/04_environmental_data/observations/Coos_Bay_coops-9431647_water-temperature.tsv	721	11.202	8.4	16.0
Coos_Bay	Coos Bay, Oregon	NDBC	chao3	9432780 - Charleston, OR	1.75	wind_speed_m_s	output/04_environmental_data/observations/Coos_Bay_ndbc-chao3_standard-met.tsv	7099	1.899	0.0	8.2
Dogfish_Bay	Dogfish Bay, Liberty Bay vicinity, Kitsap Peninsula	NOAA CO-OPS	9444900	Port Townsend	47.17	water_temperature_degC	output/04_environmental_data/observations/Dogfish_Bay_coops-9444900_water-temperature.tsv	741	13.067	12.3	15.1
Dogfish_Bay	Dogfish Bay, Liberty Bay vicinity, Kitsap Peninsula	NDBC	bmtw1	9445958 - Bremerton, WA	14.9	air_temperature_degC	output/04_environmental_data/observations/Dogfish_Bay_ndbc-bmtw1_standard-met.tsv	4622	18.354	12.1	29.1
Dogfish_Bay	Dogfish Bay, Liberty Bay vicinity, Kitsap Peninsula	NDBC	bmtw1	9445958 - Bremerton, WA	14.9	wind_speed_m_s	output/04_environmental_data/observations/Dogfish_Bay_ndbc-bmtw1_standard-met.tsv	7147	2.043	0.0	7.2
FB18_Wild	Fidalgo Bay wild collection, 2018, Anacortes	NOAA CO-OPS	9444900	Port Townsend	44.04	water_temperature_degC	output/04_environmental_data/observations/FB18_Wild_coops-9444900_water-temperature.tsv	741	13.067	12.3	15.1
FB18_Wild	Fidalgo Bay wild collection, 2018, Anacortes	NDBC	pbfw1	Padilla Bay Farm, Padilla Bay Reserve, WA	8.33	air_temperature_degC	output/04_environmental_data/observations/FB18_Wild_ndbc-pbfw1_standard-met.tsv	2864	16.054	8.7	25.7
FB18_Wild	Fidalgo Bay wild collection, 2018, Anacortes	NDBC	pbfw1	Padilla Bay Farm, Padilla Bay Reserve, WA	8.33	wind_speed_m_s	output/04_environmental_data/observations/FB18_Wild_ndbc-pbfw1_standard-met.tsv	2864	2.539	0.0	9.3
Fidalgo_Bay	Fidalgo Bay, Anacortes	NOAA CO-OPS	9444900	Port Townsend	44.04	water_temperature_degC	output/04_environmental_data/observations/Fidalgo_Bay_coops-9444900_water-temperature.tsv	741	13.067	12.3	15.1
Fidalgo_Bay	Fidalgo Bay, Anacortes	NDBC	pbfw1	Padilla Bay Farm, Padilla Bay Reserve, WA	8.33	air_temperature_degC	output/04_environmental_data/observations/Fidalgo_Bay_ndbc-pbfw1_standard-met.tsv	2864	16.054	8.7	25.7
