location	putative_site	region	latitude	longitude	coordinate_confidence	n_samples
CS18_22_Wild_plate1	Central Sound wild collection, 2018 (Clam Bay / Manchester vicinity)	Central Puget Sound	47.576	-122.546	uncertain	7
Coos_Bay	Coos Bay, Oregon	Oregon coast	43.345	-124.317	high	7
Dogfish_Bay	Dogfish Bay, Liberty Bay vicinity, Kitsap Peninsula	Central Puget Sound	47.696	-122.63	high	8
FB18_Wild	Fidalgo Bay wild collection, 2018, Anacortes	Northern Puget Sound	48.488	-122.576	high	5
Fidalgo_Bay	Fidalgo Bay, Anacortes	Northern Puget Sound	48.488	-122.576	high	5
HC18_Triton_Wild	Triton Cove, Hood Canal	Hood Canal	47.607	-122.977	high	8
LS	Little Skookum Inlet, southern Puget Sound	South Puget Sound	47.16	-123.03	uncertain	7
MB	Mud Bay, Eld Inlet, southern Puget Sound	South Puget Sound	47.108	-122.977	uncertain	8
NS18_Disco_Wild	Discovery Bay, north Olympic Peninsula	Strait of Juan de Fuca	48.045	-122.888	high	8
NS18_Sequim_Wild	Sequim Bay, north Olympic Peninsula	Strait of Juan de Fuca	48.064	-123.03	high	8
Ostrich_Bay	Ostrich Bay, Dyes Inlet, Bremerton	Central Puget Sound	47.586	-122.69	high	8
PGB18_Wild	Port Gamble Bay, northern Hood Canal	Hood Canal	47.85	-122.58	high	8
SS18_North_Bay_Wild	North Bay, Case Inlet, southern Puget Sound	South Puget Sound	47.38	-122.83	high	8
Squaxin_Island	Squaxin Island, southern Puget Sound	South Puget Sound	47.18	-122.92	high	7
WB	Westcott Bay, San Juan Island	San Juan Islands	48.585	-123.16	uncertain	8
