location	putative_site	network	station_id	station_name	station_type	owner	lat	lon	distance_km
CS18_22_Wild_plate1	Central Sound wild collection, 2018 (Clam Bay / Manchester vicinity)	NOAA CO-OPS	9445958	Bremerton	meteorology,water_level	NOAA CO-OPS	47.5617	-122.623	5.99
CS18_22_Wild_plate1	Central Sound wild collection, 2018 (Clam Bay / Manchester vicinity)	NDBC	bmtw1	9445958 - Bremerton, WA	Water Level Observation Network	PT	47.562	-122.626	6.2
CS18_22_Wild_plate1	Central Sound wild collection, 2018 (Clam Bay / Manchester vicinity)	NDBC	wpow1	West Point, WA	C-MAN Station	N	47.662	-122.435	12.68
CS18_22_Wild_plate1	Central Sound wild collection, 2018 (Clam Bay / Manchester vicinity)	NOAA CO-OPS	9447130	Seattle	meteorology,water_level,water_temperature	NOAA CO-OPS	47.60264	-122.3393	15.78
CS18_22_Wild_plate1	Central Sound wild collection, 2018 (Clam Bay / Manchester vicinity)	NDBC	ebsw1	9447130 - Seattle, WA	Water Level Observation Network	O	47.602	-122.338	15.86
CS18_22_Wild_plate1	Central Sound wild collection, 2018 (Clam Bay / Manchester vicinity)	NDBC	46113	Poulsbo Buoy	Buoy	IN	47.73	-122.646	18.69
CS18_22_Wild_plate1	Central Sound wild collection, 2018 (Clam Bay / Manchester vicinity)	NDBC	46120	Pt Wells, WA (U of Wash)	Buoy	WA	47.761	-122.397	23.4
CS18_22_Wild_plate1	Central Sound wild collection, 2018 (Clam Bay / Manchester vicinity)	NANOOS/UW ORCA	ORCA_PointWells	Point Wells, central Puget Sound	moored buoy (CTD, oxygen, chlorophyll, met)	University of Washington	47.761	-122.397	23.4
CS18_22_Wild_plate1	Central Sound wild collection, 2018 (Clam Bay / Manchester vicinity)	NANOOS/UW ORCA	ORCA_DabobBay	Dabob Bay, Hood Canal	moored buoy (CTD, oxygen, chlorophyll, met)	University of Washington	47.803	-122.803	31.74
CS18_22_Wild_plate1	Central Sound wild collection, 2018 (Clam Bay / Manchester vicinity)	NOAA CO-OPS	9446482	Tacoma MET	meteorology	NOAA CO-OPS	47.275833	-122.41778	34.74
CS18_22_Wild_plate1	Central Sound wild collection, 2018 (Clam Bay / Manchester vicinity)	NANOOS/UW ORCA	ORCA_CarrInlet	Carr Inlet, southern Puget Sound	moored buoy (CTD, oxygen, chlorophyll, met)	University of Washington	47.28	-122.73	35.71
CS18_22_Wild_plate1	Central Sound wild collection, 2018 (Clam Bay / Manchester vicinity)	NOAA CO-OPS	9446484	Tacoma	meteorology,water_level,water_temperature	NOAA CO-OPS	47.2667	-122.4133	35.81
CS18_22_Wild_plate1	Central Sound wild collection, 2018 (Clam Bay / Manchester vicinity)	NANOOS/UW ORCA	ORCA_Hansville	Hansville, northern Puget Sound	moored buoy (CTD, oxygen, chlorophyll, met)	University of Washington	47.907	-122.627	37.3
CS18_22_Wild_plate1	Central Sound wild collection, 2018 (Clam Bay / Manchester vicinity)	NANOOS/UW ORCA	ORCA_Twanoh	Twanoh, southern Hood Canal	moored buoy (CTD, oxygen, chlorophyll, met)	University of Washington	47.375	-123.008	41.29
CS18_22_Wild_plate1	Central Sound wild collection, 2018 (Clam Bay / Manchester vicinity)	NANOOS/UW ORCA	ORCA_Hoodsport	Hoodsport, Hood Canal	moored buoy (CTD, oxygen, chlorophyll, met)	University of Washington	47.425	-123.113	45.78
CS18_22_Wild_plate1	Central Sound wild collection, 2018 (Clam Bay / Manchester vicinity)	NOAA CO-OPS	9444900	Port Townsend	meteorology,water_level,water_temperature	NOAA CO-OPS	48.11122	-122.759674	61.61
Coos_Bay	Coos Bay, Oregon	NOAA CO-OPS	9432780	Charleston	meteorology,water_level,water_temperature	NOAA CO-OPS	43.345	-124.322	0.4
Coos_Bay	Coos Bay, Oregon	NDBC	cwqo3	Charleston Bridge, South Slough Reserve, OR	NERRS Water Quality Station	NR	43.338	-124.321	0.84
Coos_Bay	Coos Bay, Oregon	NDBC	chno3	South Slough Reserve, OR	NERRS Weather Station	NR	43.345	-124.329	0.97
Coos_Bay	Coos Bay, Oregon	NDBC	chao3	9432780 - Charleston, OR	Water Level Observation Network	O	43.351	-124.337	1.75
Coos_Bay	Coos Bay, Oregon	NDBC	soqo3	Valino Island, South Slough Reserve, OR	NERRS Water Quality Station	NR	43.317	-124.322	3.14
Coos_Bay	Coos Bay, Oregon	NDBC	caro3	Cape Arago, OR	C-MAN Station	N	43.342	-124.375	4.7
