network	station_id	station_name	station_type	owner	lat	lon
NDBC	0y2w3	Sturgeon Bay CG Station, WI	Weather Station	CG	44.794	-87.313
NDBC	13001	NE Extension	Atlas Buoy	PR	12.0	-23.0
NDBC	13002	NE Extension	Atlas Buoy	PR	21.0	-23.0
NDBC	13008	Reggae	Atlas Buoy	PR	15.0	-38.0
NDBC	13009	Lambada	Atlas Buoy	PR	8.0	-38.0
NDBC	13010	Soul	Atlas Buoy	PR	0.0	0.0
NDBC	14040		Atlas Buoy	RM	-8.0	67.0
NDBC	14041		Atlas Buoy	RM	-8.0	55.0
NDBC	14043		Atlas Buoy	RM	-12.0	67.0
NDBC	14047		Atlas Buoy	RM	-4.0	57.0
NDBC	14048		Atlas Buoy	RM	-8.0	65.0
NDBC	14049		Atlas Buoy	RM	-12.0	65.0
NDBC	15001	Gavotte	Atlas Buoy	PR	-10.0	-10.0
NDBC	15002	Java	Atlas Buoy	PR	0.0	-10.0
NDBC	15006	Valse	Atlas Buoy	PR	-6.0	-10.0
NDBC	15007	SE Extension	Atlas Buoy	PR	-6.0	8.0
NDBC	15008			PR	-20.0	-10.0
NDBC	15009			PR	0.0	-3.051
NDBC	1801583	SD 1063 - 24 NM SSW of San Francisco, CA (Site of 46012)	Uncrewed Surface Vehicle	N	37.356	-122.881
NDBC	1801589	SD 1073 - 24 NM SSW of San Francisco, CA (Site of 46012)	Uncrewed Surface Vehicle	N	37.356	-122.881
NDBC	1801593	SD 1077 - 24 NM SSW of San Francisco, CA (Site of 46012)	Uncrewed Surface Vehicle	N	37.356	-122.881
NDBC	18ci3	Michigan City CG Station, IN	Weather Station	CG	41.73	-86.91
NDBC	20cm4	St. Joseph CG Station, MI	Weather Station	CG	42.09	-86.49
NDBC	21178	South of Shikoku	Buoy	JM	33.12	133.62
NDBC	21346	21346  380km East of Iwate, Japan	STB - SAIC Tsunami Buoy	JM	40.302	146.192
NDBC	21347	21347  320km East of Iwate, Japan	STB - SAIC Tsunami Buoy	JM	39.601	145.799
NDBC	21348	21348   350km East of Miyagi, Japan	STB - SAIC Tsunami Buoy	JM	38.816	145.595
NDBC	21401	250NM Southeast of Iturup Island	STB - SAIC Tsunami Buoy	HY	42.617	152.583
NDBC	21402	286NM East of Simushir Island	ETD	HY	46.488	158.343
NDBC	21413	SOUTHEAST TOKYO - 700NM ESE of Tokyo, JP	2.6-meter discus buoy	N	30.487	152.124
NDBC	21414	AMCHITKA - 170 NM South of Amchitka, AK	2.6-meter discus buoy	N	48.977	178.199
NDBC	21415	ATTU - 175 NM South of Attu, AK	2.6-meter discus buoy	N	50.12	171.867
NDBC	21416	KAMCHATKA PENINSULA - 240NM SE of Kamchatka Peninsula, RU	2.6-meter discus buoy	N	48.126	163.355
NDBC	21417	290NM SE of the Kuril Islands	2.6-meter discus buoy	N	43.192	157.142
NDBC	21418	NORTHEAST TOKYO - 450 NM NE of Tokyo, JP	2.6-meter discus buoy	N	38.84	148.753
NDBC	21419	KURIL ISLANDS - 209NM SE of Kuril Is.	2.6-meter discus buoy	N	44.401	155.653
NDBC	21420	SOUTHEAST MIYAZAKI - 260NM Southeast of Miyazaki	2.6-meter discus buoy	N	28.98	134.973
NDBC	21595	Drifter	Drifting Buoy	JM	36.7	-132.167
NDBC	21597	Drifter	Drifting Buoy	JM	32.8	155.2
NDBC	21598	Drifter	Drifting Buoy	JM	31.3	152.7
NDBC	21600	Drifter	Drifting Buoy	JM	40.7	154.5
NDBC	21636	Drifter	Drifting Buoy	JM	31.5	127.4
NDBC	21637	Drifter	Drifting Buoy	JM	29.3	141.25
NDBC	21640	Drifter	Drifting Buoy	JM	28.3	135.5
NDBC	21707		Drifting Buoy	JM	25.0	136.0
NDBC	21d13	SOUTHEAST TOKYO - 700NM ESE of Tokyo, JP	2.6-meter discus buoy	N	30.514	152.123
NDBC	21d20	Adrift buoy from 21420	2.6 meter DART buoy	N	28.91	134.999
NDBC	22101		Buoy	KO	37.23	126.02
NDBC	22102		Buoy	KO	34.8	125.77
NDBC	22103		Buoy	KO	34.0	127.5
NDBC	22104		Buoy	KO	34.77	128.9
NDBC	22105		Buoy	KO	37.53	130.0
NDBC	22106		Buoy	KO	36.35	129.78
NDBC	22107		Buoy	KO	33.08	126.03
NDBC	22108		Buoy	KO	36.25	125.75
NDBC	23001		Atlas Buoy	RM	0.0	81.0
NDBC	23003		Atlas Buoy	RM	-2.0	81.0
NDBC	23004		Atlas Buoy	RM	0.0	90.0
NDBC	23006		Atlas Buoy	RM	4.0	90.0
NDBC	23007		Atlas Buoy	RM	8.0	90.0
NDBC	23008		Atlas Buoy	RM	12.0	90.0
